Name,Total Time,Build Time,Setup Time,Resolution Time,Go to Def/Ref (max),Go to Def/Ref (min),Go to Def/Ref (mean)
DoodledBears,1.88,0.481,0,1.399,31,0,5.56383
Uniswap,3.712,1.647,0,2.065,13,0,9.696078
Mooniswap,17.611,1.104,0,16.507,307,0,18.11085
SeniorBond,1.197,0.627,0,0.57,20,0,5.645161
AAVE,6.1,3.094,0,3.006,5,0,0.89788294
0xProject,6.166,1.805,0,4.361,100,0,24.014706
ERC721AContract,5.763,1.29,0,4.473,35,0,7.2206187
Darts,7.071,2.402,0,4.669,199,0,45.985294
YaxisVotePower,0.3,0.142,0,0.158,6,0,0.36507937
WeightedPool,49.317,2.385,0,46.932,353,0,73.2987
UiPoolDataProviderV2V3,1.844,0.969,0,0.875,3,0,0.34273317
GraphToken,0.797,0.319,0,0.478,19,0,1.615942
lidofinance,6.806,1.286,0,5.52,66,0,10.147577
